Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
662b5df4c62ac442659bcfbf,5ea93d40fb690101aa21e97a,RETURNED,Not Applicable,2024-04-26T07:55:32.340000Z,,,2024-05-06T11:14:00.729358Z,,,608,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5df670b9410fe79bd7fe,609ea6976e377c8f9f77759a,APPROVED,Not Applicable,2024-04-26T07:55:34.473000Z,2024-04-26T08:16:42.880000Z,2024-04-29T20:54:44.618000Z,2024-04-26T08:17:15.112784Z,1269.0,CW8BWO89,484,Yes,23,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
662b5df7ac3ed19deff0ddd7,5fd7d4f8af92d60984a56d23,RETURNED,Not Applicable,2024-04-26T07:56:31.700000Z,,,2024-05-06T11:14:00.734943Z,,,19,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5df8ae206f5beb38da78,6035df9a667e939fb20a44ac,REJECTED,Not Applicable,2024-04-26T07:55:36.749000Z,2024-04-26T08:43:23.013000Z,2024-04-29T20:58:44.197000Z,2024-05-06T11:14:00.737131Z,2867.0,CW8BWO89,206,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5df8d009476b7adb3a1f,616c5387784afe4b70a34de7,APPROVED,Not Applicable,2024-04-26T07:55:36.292000Z,2024-04-26T08:10:04.889000Z,2024-04-29T20:54:44.795000Z,2024-04-26T08:10:05.367834Z,869.0,CW8BWO89,126,Yes,22,Female,White,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
662b5dfb30734c45e8fe59d7,5e5ba8c45cd2ad38c93ca999,APPROVED,Not Applicable,2024-04-26T07:55:39.465000Z,2024-04-26T08:26:46.600000Z,2024-04-29T20:54:44.966000Z,2024-04-26T08:27:54.118466Z,1868.0,CW8BWO89,797,Yes,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
662b5dfe94d019f2cde32759,5f09d989eff16b266fba44c0,RETURNED,Not Applicable,2024-04-26T07:55:42.925000Z,,,2024-05-06T11:14:00.737600Z,,,695,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e045f905e51a11fc004,66262b3e3e3f75131c582f35,RETURNED,Not Applicable,2024-04-26T07:55:56.198000Z,2024-04-26T07:57:17.105000Z,,2024-05-06T11:14:00.744649Z,,66262b3e3e3f75131c582f35,4,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5e08b7bf046542a4456a,5fa670417aaa09285126c6b9,APPROVED,Not Applicable,2024-04-26T07:58:09.052000Z,2024-04-26T09:25:37.465000Z,2024-04-29T20:54:45.151000Z,2024-04-26T09:28:28.968393Z,5249.0,CW8BWO89,514,Yes,27,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
662b5e092ef6b46152f2734c,5fda95fd9df7fa2b164bed61,APPROVED,Not Applicable,2024-04-26T07:57:34.759000Z,2024-04-26T08:16:03.193000Z,2024-04-29T20:54:45.358000Z,2024-04-26T08:17:09.896239Z,1109.0,CW8BWO89,473,Yes,21,Male,White,Estonia,Latvia,Latvia,Latvian,No,Full-Time
